fold,strategy,n_train,n_train_f,overall_acc,male_acc,female_acc,gap_f_minus_m
1,baseline,361,202,0.8461538461538461,0.7272727272727273,0.9574468085106383,0.23017408123791105
1,random_oversample,413,254,0.8241758241758241,0.7272727272727273,0.9148936170212766,0.1876208897485493
1,perturbation,967,808,0.8461538461538461,0.75,0.9361702127659575,0.18617021276595747
1,smotenc,413,254,0.8241758241758241,0.75,0.8936170212765957,0.1436170212765957
1,cross_gender,361,202,0.8461538461538461,0.75,0.9361702127659575,0.18617021276595747
1,combined,667,508,0.8461538461538461,0.7727272727272727,0.9148936170212766,0.14216634429400388
2,baseline,361,199,0.8021978021978022,0.8292682926829268,0.78,-0.04926829268292676
2,random_oversample,414,252,0.8131868131868132,0.8780487804878049,0.76,-0.11804878048780487
2,perturbation,958,796,0.8571428571428571,0.926829268292683,0.8,-0.12682926829268293
2,smotenc,414,252,0.8241758241758241,0.8780487804878049,0.78,-0.09804878048780485
2,cross_gender,361,199,0.8131868131868132,0.8292682926829268,0.8,-0.029268292682926744
2,combined,666,504,0.8131868131868132,0.8536585365853658,0.78,-0.07365853658536581
3,baseline,362,200,0.7777777777777778,0.7317073170731707,0.8163265306122449,0.0846192135390742
3,random_oversample,422,260,0.8,0.8048780487804879,0.7959183673469388,-0.008959681433549083
3,perturbation,962,800,0.7888888888888889,0.8048780487804879,0.7755102040816326,-0.029367844698855228
3,smotenc,422,260,0.7555555555555555,0.7804878048780488,0.7346938775510204,-0.04579392732702836
3,cross_gender,362,200,0.7888888888888889,0.7804878048780488,0.7959183673469388,0.015430562468889963
3,combined,682,520,0.7555555555555555,0.7560975609756098,0.7551020408163265,-0.0009955201592832807
4,baseline,362,198,0.8333333333333334,0.8205128205128205,0.8431372549019608,0.022624434389140302
4,random_oversample,422,258,0.8111111111111111,0.7692307692307693,0.8431372549019608,0.07390648567119151
4,perturbation,956,792,0.8555555555555555,0.8461538461538461,0.8627450980392157,0.016591251885369585
4,smotenc,422,258,0.8222222222222222,0.7948717948717948,0.8431372549019608,0.04826546003016596
4,cross_gender,362,198,0.8777777777777778,0.8717948717948718,0.8823529411764706,0.010558069381598756
4,combined,680,516,0.8666666666666667,0.8717948717948718,0.8627450980392157,-0.009049773755656076
5,baseline,362,197,0.7666666666666667,0.7894736842105263,0.75,-0.03947368421052633
5,random_oversample,421,256,0.7666666666666667,0.7894736842105263,0.75,-0.03947368421052633
5,perturbation,953,788,0.7777777777777778,0.7894736842105263,0.7692307692307693,-0.020242914979757054
5,smotenc,421,256,0.7777777777777778,0.8157894736842105,0.75,-0.06578947368421051
5,cross_gender,362,197,0.7666666666666667,0.8157894736842105,0.7307692307692307,-0.08502024291497978
5,combined,677,512,0.7888888888888889,0.7894736842105263,0.7884615384615384,-0.0010121457489878916
